Type,Diameter,Height
I,0.185,0.065
I,0.19,0.065
I,0.18,0.06
I,0.185,0.065
I,0.19,0.075
I,0.185,0.06
I,0.19,0.06
I,0.19,0.07
I,0.215,0.08
I,0.21,0.06
I,0.205,0.07
I,0.195,0.06
I,0.2,0.07
I,0.195,0.065
I,0.19,0.06
I,0.175,0.09
I,0.2,0.065
I,0.205,0.07
I,0.205,0.065
I,0.21,0.085
I,0.215,0.08
I,0.2,0.075
I,0.21,0.055
I,0.22,0.08
I,0.22,0.065
I,0.21,0.055
I,0.21,0.07
I,0.205,0.07
I,0.21,0.07
I,0.21,0.06
I,0.215,0.065
I,0.215,0.06
I,0.23,0.08
I,0.22,0.085
I,0.22,0.08
I,0.22,0.065
I,0.23,0.075
I,0.225,0.075
I,0.22,0.065
I,0.22,0.07
I,0.215,0.065
I,0.225,0.07
I,0.21,0.06
I,0.23,0.08
I,0.23,0.07
I,0.235,0.08
I,0.24,0.09
I,0.205,0.08
I,0.235,0.065
I,0.25,0.055
I,0.245,0.075
I,0.205,0.095
I,0.25,0.075
I,0.255,0.08
I,0.25,0.075
I,0.265,0.08
I,0.255,0.085
I,0.26,0.075
I,0.265,0.095
I,0.26,0.08
I,0.255,0.08
I,0.28,0.085
I,0.275,0.1
I,0.29,0.095
I,0.265,0.095
I,0.28,0.09
I,0.3,0.09
I,0.27,0.1
I,0.295,0.09
I,0.3,0.09
I,0.29,0.1
I,0.32,0.095
I,0.32,0.115
I,0.34,0.105
I,0.125,0.055
I,0.375,0.12
I,0.13,0.03
I,0.14,0.05
I,0.17,0.055
I,0.175,0.055
I,0.17,0.065
I,0.18,0.06
I,0.175,0.065
I,0.185,0.07
I,0.19,0.06
I,0.195,0.07
I,0.19,0.05
I,0.185,0.07
I,0.185,0.06
I,0.2,0.07
I,0.195,0.06
I,0.19,0.08
I,0.205,0.05
I,0.205,0.075
I,0.195,0.065
I,0.195,0.09
I,0.22,0.08
I,0.205,0.08
I,0.2,0.07
I,0.205,0.07
I,0.21,0.075
I,0.21,0.065
I,0.215,0.07
I,0.215,0.06
I,0.215,0.07
I,0.21,0.06
I,0.21,0.065
I,0.215,0.085
I,0.215,0.07
I,0.22,0.07
I,0.22,0.07
I,0.22,0.065
I,0.23,0.095
I,0.22,0.08
I,0.23,0.085
I,0.23,0.075
I,0.225,0.09
I,0.23,0.075
I,0.235,0.07
I,0.225,0.05
I,0.24,0.105
I,0.225,0.075
I,0.23,0.07
I,0.235,0.09
I,0.235,0.075
I,0.235,0.055
I,0.23,0.07
I,0.23,0
I,0.225,0.085
I,0.24,0.07
I,0.235,0.08
I,0.215,0.095
I,0.24,0.085
I,0.245,0.07
I,0.24,0.075
I,0.225,0.075
I,0.27,0.1
I,0.24,0.075
I,0.25,0.075
I,0.24,0.075
I,0.255,0.095
I,0.265,0.085
I,0.265,0.09
I,0.24,0.075
I,0.23,0.085
I,0.245,0.065
I,0.245,0.09
I,0.25,0.08
I,0.25,0.08
I,0.25,0.08
I,0.26,0.085
I,0.26,0.08
I,0.25,0.09
I,0.26,0.085
I,0.26,0.09
I,0.255,0.075
I,0.245,0.085
I,0.275,0.095
I,0.255,0.095
I,0.255,0.095
I,0.27,0.09
I,0.25,0.07
I,0.27,0.075
I,0.25,0.07
I,0.265,0.08
I,0.265,0.085
I,0.25,0.075
I,0.27,0.075
I,0.285,0.095
I,0.265,0.085
I,0.28,0.08
I,0.27,0.085
I,0.27,0.09
I,0.265,0.075
I,0.265,0.085
I,0.27,0.09
I,0.27,0.085
I,0.27,0.085
I,0.27,0.075
I,0.27,0.105
I,0.27,0.09
I,0.275,0.14
I,0.29,0.095
I,0.28,0.1
I,0.28,0.085
I,0.27,0.095
I,0.27,0.095
I,0.29,0.08
I,0.28,0.09
I,0.275,0.095
I,0.275,0.085
I,0.275,0.08
I,0.275,0.09
I,0.28,0.09
I,0.28,0.08
I,0.275,0.1
I,0.275,0.09
I,0.275,0.095
I,0.245,0.1
I,0.28,0.08
I,0.29,0.1
I,0.285,0.09
I,0.26,0.08
I,0.29,0.095
I,0.28,0.08
I,0.275,0.11
I,0.29,0.1
I,0.28,0.085
I,0.285,0.085
I,0.275,0.095
I,0.275,0.095
I,0.3,0.09
I,0.28,0.125
I,0.29,0.095
I,0.265,0.08
I,0.29,0.1
I,0.285,0.09
I,0.3,0.1
I,0.29,0.095
I,0.3,0.09
I,0.31,0.1
I,0.32,0.095
I,0.29,0.11
I,0.315,0.085
I,0.3,0.11
I,0.31,0.115
I,0.315,0.09
I,0.315,0.1
I,0.295,0.095
I,0.3,0.115
I,0.285,0.09
I,0.3,0.105
I,0.3,0.09
I,0.31,0.065
I,0.3,0.09
I,0.325,0.1
I,0.31,0.09
I,0.325,0.1
I,0.305,0.095
I,0.33,0.09
I,0.31,0.09
I,0.31,0.1
I,0.315,0.105
I,0.315,0.09
I,0.31,0.105
I,0.31,0.095
I,0.315,0.1
I,0.31,0.095
I,0.305,0.09
I,0.315,0.115
I,0.32,0.11
I,0.325,0.1
I,0.34,0.1
I,0.315,0.1
I,0.34,0.105
I,0.31,0.105
I,0.33,0.115
I,0.34,0.105
I,0.33,0.1
I,0.35,0.105
I,0.335,0.105
I,0.325,0.105
I,0.34,0.115
I,0.33,0.11
I,0.325,0.11
I,0.325,0.1
I,0.33,0.095
I,0.345,0.13
I,0.345,0.115
I,0.325,0.1
I,0.34,0.12
I,0.33,0.135
I,0.35,0.11
I,0.34,0.12
I,0.33,0.1
I,0.33,0.11
I,0.35,0.125
I,0.375,0.12
I,0.335,0.105
I,0.345,0.115
I,0.37,0.12
I,0.345,0.105
I,0.38,0.125
I,0.35,0.125
I,0.355,0.12
I,0.35,0.11
I,0.35,0.105
I,0.38,0.12
I,0.45,0.13
I,0.435,0.15
I,0.2,0.065
I,0.195,0.055
I,0.215,0.075
I,0.2,0.065
I,0.2,0.075
I,0.2,0.065
I,0.205,0.055
I,0.2,0.065
I,0.225,0.07
I,0.225,0.09
I,0.22,0.09
I,0.245,0.075
I,0.215,0.075
I,0.24,0.09
I,0.235,0.075
I,0.23,0.09
I,0.24,0.085
I,0.235,0.07
I,0.255,0.1
I,0.24,0.075
I,0.235,0.09
I,0.23,0.06
I,0.25,0.08
I,0.25,0.08
I,0.25,0.07
I,0.255,0.08
I,0.25,0.105
I,0.25,0.095
I,0.26,0.08
I,0.225,0.075
I,0.26,0.085
I,0.23,0.08
I,0.25,0.075
I,0.25,0.075
I,0.245,0.09
I,0.26,0.09
I,0.25,0.07
I,0.265,0.07
I,0.25,0.075
I,0.27,0.11
I,0.265,0.1
I,0.26,0.095
I,0.265,0.08
I,0.235,0.08
I,0.26,0.09
I,0.25,0.1
I,0.28,0.085
I,0.275,0.09
I,0.26,0.09
I,0.28,0.11
I,0.255,0.08
I,0.27,0.075
I,0.27,0.1
I,0.265,0.095
I,0.26,0.09
I,0.285,0.105
I,0.275,0.095
I,0.3,0.085
I,0.275,0.075
I,0.265,0.075
I,0.27,0.085
I,0.265,0.09
I,0.25,0.115
I,0.265,0.085
I,0.27,0.085
I,0.275,0.135
I,0.27,0.085
I,0.265,0.085
I,0.265,0.135
I,0.27,0.085
I,0.275,0.085
I,0.275,0.09
I,0.28,0.09
I,0.28,0.095
I,0.275,0.1
I,0.275,0.1
I,0.28,0.095
I,0.29,0.09
I,0.275,0.09
I,0.27,0.09
I,0.28,0.09
I,0.29,0.085
I,0.27,0.085
I,0.28,0.085
I,0.28,0.08
I,0.275,0.085
I,0.3,0.075
I,0.275,0.095
I,0.28,0.085
I,0.285,0.08
I,0.285,0.09
I,0.275,0.095
I,0.285,0.095
I,0.29,0.085
I,0.285,0.09
I,0.28,0.095
I,0.3,0.1
I,0.295,0.085
I,0.3,0.1
I,0.29,0.08
I,0.3,0.095
I,0.28,0.095
I,0.29,0.09
I,0.3,0.125
I,0.295,0.095
I,0.3,0.095
I,0.3,0.09
I,0.285,0.1
I,0.29,0.1
I,0.295,0.1
I,0.29,0.09
I,0.3,0.1
I,0.315,0.09
I,0.31,0.085
I,0.29,0.1
I,0.29,0.095
I,0.29,0.095
I,0.295,0.1
I,0.31,0.095
I,0.31,0.085
I,0.3,0.09
I,0.31,0.1
I,0.305,0.1
I,0.29,0.1
I,0.3,0.12
I,0.3,0.11
I,0.29,0.09
I,0.25,0.09
I,0.305,0.09
I,0.305,0.1
I,0.305,0.1
I,0.3,0.085
I,0.31,0.09
I,0.305,0.09
I,0.3,0.1
I,0.335,0.11
I,0.315,0.095
I,0.335,0.105
I,0.33,0.105
I,0.305,0.1
I,0.32,0.11
I,0.325,0.1
I,0.305,0.12
I,0.325,0.1
I,0.325,0.1
I,0.325,0.1
I,0.335,0.1
I,0.32,0.115
I,0.33,0.1
I,0.3,0.105
I,0.32,0.11
I,0.325,0.11
I,0.305,0.1
I,0.325,0.115
I,0.325,0.11
I,0.32,0.1
I,0.31,0.09
I,0.315,0.08
I,0.315,0.095
I,0.34,0.1
I,0.31,0.095
I,0.325,0.105
I,0.325,0.1
I,0.325,0.09
I,0.32,0.1
I,0.34,0.11
I,0.32,0.1
I,0.33,0.095
I,0.345,0.115
I,0.315,0.11
I,0.335,0.1
I,0.335,0.1
I,0.33,0.11
I,0.345,0.12
I,0.325,0.12
I,0.345,0.12
I,0.335,0.095
I,0.335,0.105
I,0.335,0.11
I,0.335,0.11
I,0.325,0.1
I,0.345,0.12
I,0.325,0.09
I,0.33,0.11
I,0.335,0.11
I,0.355,0.12
I,0.34,0.1
I,0.335,0.115
I,0.34,0.1
I,0.33,0.11
I,0.335,0.1
I,0.325,0.1
I,0.35,0.13
I,0.345,0.105
I,0.34,0.145
I,0.31,0.09
I,0.345,0.12
I,0.36,0.13
I,0.345,0.11
I,0.335,0.105
I,0.33,0.105
I,0.335,0.11
I,0.335,0.095
I,0.335,0.105
I,0.335,0.115
I,0.35,0.135
I,0.355,0.125
I,0.335,0.135
I,0.35,0.105
I,0.35,0.135
I,0.36,0.1
I,0.345,0.105
I,0.35,0.115
I,0.36,0.105
I,0.35,0.11
I,0.355,0.11
I,0.35,0.11
I,0.345,0.12
I,0.345,0.11
I,0.365,0.115
I,0.365,0.115
I,0.37,0.115
I,0.345,0.11
I,0.37,0.11
I,0.355,0.11
I,0.355,0.105
I,0.37,0.1
I,0.355,0.145
I,0.355,0.115
I,0.35,0.1
I,0.365,0.115
I,0.385,0.11
I,0.365,0.1
I,0.375,0.115
I,0.355,0.115
I,0.35,0.115
I,0.365,0.105
I,0.35,0.12
I,0.36,0.125
I,0.335,0.125
I,0.35,0.1
I,0.375,0.13
I,0.385,0.13
I,0.37,0.1
I,0.37,0.115
I,0.38,0.13
I,0.38,0.12
I,0.33,0.1
I,0.375,0.14
I,0.375,0.125
I,0.38,0.11
I,0.37,0.115
I,0.38,0.12
I,0.39,0.185
I,0.385,0.12
I,0.375,0.1
I,0.405,0.135
I,0.395,0.13
I,0.38,0.12
I,0.4,0.125
I,0.385,0.125
I,0.39,0.13
I,0.38,0.115
I,0.395,0.145
I,0.4,0.14
I,0.42,0.12
I,0.4,0.13
I,0.195,0.07
I,0.225,0.07
I,0.205,0.07
I,0.215,0.075
I,0.21,0.08
I,0.23,0.08
I,0.245,0.085
I,0.23,0.07
I,0.24,0.07
I,0.255,0.085
I,0.24,0.07
I,0.2,0.08
I,0.255,0.085
I,0.26,0.1
I,0.25,0.095
I,0.285,0.1
I,0.255,0.09
I,0.28,0.075
I,0.26,0.095
I,0.275,0.085
I,0.26,0.09
I,0.28,0.09
I,0.27,0.095
I,0.27,0.09
I,0.285,0.095
I,0.305,0.115
I,0.28,0.08
I,0.29,0.14
I,0.285,0.09
I,0.285,0.1
I,0.27,0.08
I,0.29,0.085
I,0.28,0.085
I,0.29,0.09
I,0.3,0.09
I,0.28,0.1
I,0.285,0.085
I,0.31,0.105
I,0.28,0.09
I,0.3,0.105
I,0.29,0.09
I,0.305,0.105
I,0.295,0.095
I,0.325,0.105
I,0.32,0.1
I,0.3,0.12
I,0.3,0.09
I,0.315,0.09
I,0.31,0.095
I,0.31,0.09
I,0.31,0.11
I,0.3,0.09
I,0.3,0.09
I,0.315,0.1
I,0.325,0.11
I,0.325,0.105
I,0.31,0.095
I,0.325,0.11
I,0.315,0.1
I,0.325,0.115
I,0.31,0.1
I,0.32,0.1
I,0.325,0.115
I,0.315,0.11
I,0.32,0.115
I,0.31,0.1
I,0.3,0.095
I,0.325,0.11
I,0.34,0.1
I,0.32,0.085
I,0.325,0.11
I,0.31,0.095
I,0.34,0
I,0.315,0.095
I,0.34,0.1
I,0.32,0.11
I,0.345,0.115
I,0.315,0.115
I,0.34,0.11
I,0.325,0.12
I,0.3,0.12
I,0.33,0.105
I,0.325,0.105
I,0.34,0.12
I,0.375,0.11
I,0.35,0.125
I,0.34,0.105
I,0.32,0.095
I,0.325,0.11
I,0.335,0.11
I,0.33,0.11
I,0.32,0.12
I,0.355,0.095
I,0.355,0.11
I,0.35,0.13
I,0.355,0.105
I,0.365,0.125
I,0.34,0.095
I,0.35,0.12
I,0.33,0.115
I,0.34,0.125
I,0.34,0.105
I,0.35,0.11
I,0.345,0.105
I,0.33,0.1
I,0.325,0.135
I,0.345,0.11
I,0.34,0.115
I,0.375,0.125
I,0.435,0.11
I,0.37,0.11
I,0.335,0.105
I,0.355,0.11
I,0.335,0.11
I,0.35,0.1
I,0.345,0.105
I,0.37,0.11
I,0.34,0.09
I,0.34,0.1
I,0.365,0.11
I,0.345,0.11
I,0.355,0.12
I,0.355,0.12
I,0.365,0.1
I,0.355,0.18
I,0.355,0.12
I,0.355,0.125
I,0.375,0.12
I,0.37,0.11
I,0.385,0.13
I,0.375,0.125
I,0.345,0.12
I,0.355,0.1
I,0.38,0.12
I,0.36,0.11
I,0.36,0.145
I,0.36,0.125
I,0.365,0.12
I,0.355,0.105
I,0.375,0.11
I,0.365,0.14
I,0.42,0.16
I,0.36,0.135
I,0.355,0.135
I,0.36,0.11
I,0.38,0.125
I,0.355,0.115
I,0.365,0.1
I,0.37,0.12
I,0.35,0.135
I,0.355,0.115
I,0.355,0.11
I,0.375,0.14
I,0.365,0.105
I,0.36,0.12
I,0.415,0.14
I,0.375,0.13
I,0.38,0.125
I,0.365,0.14
I,0.365,0.125
I,0.37,0.14
I,0.375,0.125
I,0.365,0.09
I,0.375,0.11
I,0.375,0.115
I,0.4,0.135
I,0.37,0.11
I,0.375,0.125
I,0.375,0.115
I,0.355,0.12
I,0.37,0.125
I,0.4,0.105
I,0.38,0.135
I,0.38,0.145
I,0.375,0.14
I,0.385,0.125
I,0.375,0.12
I,0.375,0.12
I,0.375,0.115
I,0.4,0.145
I,0.375,0.115
I,0.385,0.12
I,0.38,0.125
I,0.4,0.12
I,0.39,0.12
I,0.39,0.125
I,0.375,0.12
I,0.37,0.12
I,0.38,0.135
I,0.385,0.11
I,0.395,0.145
I,0.36,0.12
I,0.385,0.12
I,0.39,0.15
I,0.355,0.125
I,0.405,0.13
I,0.395,0.105
I,0.4,0.145
I,0.4,0.125
I,0.405,0.125
I,0.38,0.115
I,0.395,0.155
I,0.385,0.15
I,0.385,0.145
I,0.4,0.125
I,0.405,0.13
I,0.395,0.105
I,0.39,0.125
I,0.385,0.125
I,0.395,0.125
I,0.395,0.125
I,0.39,0.125
I,0.39,0.11
I,0.4,0.14
I,0.41,0.12
I,0.38,0.135
I,0.38,0.125
I,0.41,0.11
I,0.4,0.11
I,0.38,0.13
I,0.415,0.14
I,0.4,0.14
I,0.4,0.13
I,0.395,0.12
I,0.38,0.135
I,0.405,0.145
I,0.385,0.13
I,0.4,0.13
I,0.4,0.11
I,0.39,0.105
I,0.4,0.125
I,0.4,0.125
I,0.43,0.14
I,0.38,0.125
I,0.42,0.13
I,0.395,0.115
I,0.415,0.15
I,0.385,0.18
I,0.4,0.135
I,0.425,0.135
I,0.39,0.125
I,0.41,0.135
I,0.42,0.14
I,0.435,0.135
I,0.405,0.135
I,0.375,0.12
I,0.42,0.125
I,0.42,0.165
I,0.43,0.13
I,0.405,0.13
I,0.43,0.14
I,0.415,0.145
I,0.425,0.15
I,0.42,0.13
I,0.435,0.165
I,0.425,0.13
I,0.45,0.14
I,0.435,0.14
I,0.425,0.13
I,0.43,0.125
I,0.44,0.13
I,0.43,0.13
I,0.42,0.14
I,0.44,0.15
I,0.45,0.135
I,0.43,0.13
I,0.455,0.155
I,0.44,0.15
I,0.45,0.15
I,0.47,0.145
I,0.46,0.15
I,0.43,0.165
I,0.48,0.17
I,0.475,0.13
I,0.205,0.08
I,0.225,0.075
I,0.225,0.08
I,0.25,0.08
I,0.24,0.095
I,0.255,0.085
I,0.265,0.11
I,0.27,0.105
I,0.275,0.085
I,0.28,0.105
I,0.295,0.095
I,0.26,0.115
I,0.29,0.09
I,0.3,0.11
I,0.265,0.1
I,0.315,0.105
I,0.31,0.11
I,0.33,0.1
I,0.345,0.115
I,0.305,0.11
I,0.325,0.125
I,0.34,0.12
I,0.32,0.08
I,0.355,0.125
I,0.365,0.115
I,0.34,0.12
I,0.365,0.11
I,0.305,0.115
I,0.32,0.105
I,0.35,0.12
I,0.36,0.11
I,0.33,0.105
I,0.355,0.08
I,0.37,0.125
I,0.355,0.105
I,0.365,0.135
I,0.35,0.13
I,0.35,0.105
I,0.35,0.11
I,0.36,0.14
I,0.375,0.12
I,0.37,0.12
I,0.355,0.09
I,0.37,0.115
I,0.36,0.105
I,0.36,0.13
I,0.345,0.14
I,0.355,0.12
I,0.365,0.115
I,0.365,0.125
I,0.34,0.105
I,0.36,0.11
I,0.375,0.11
I,0.355,0.125
I,0.335,0.1
I,0.35,0.125
I,0.37,0.125
I,0.37,0.125
I,0.355,0.125
I,0.39,0.125
I,0.355,0.105
I,0.345,0.16
I,0.37,0.115
I,0.355,0.12
I,0.39,0.12
I,0.385,0.12
I,0.375,0.12
I,0.38,0.135
I,0.375,0.145
I,0.41,0.14
I,0.395,0.14
I,0.375,0.14
I,0.38,0.11
I,0.395,0.12
I,0.39,0.13
I,0.365,0.125
I,0.385,0.125
I,0.38,0.135
I,0.425,0.125
I,0.4,0.125
I,0.455,0.135
I,0.4,0.145
I,0.4,0.135
I,0.36,0.125
I,0.4,0.125
I,0.4,0.135
I,0.405,0.13
I,0.39,0.12
I,0.395,0.125
I,0.395,0.125
I,0.41,0.145
I,0.415,0.14
I,0.395,0.125
I,0.395,0.135
I,0.4,0.14
I,0.4,0.125
I,0.39,0.12
I,0.415,0.12
I,0.4,0.145
I,0.375,0.12
I,0.4,0.14
I,0.415,0.13
I,0.415,0.11
I,0.425,0.13
I,0.43,0.13
I,0.4,0.145
I,0.43,0.16
I,0.395,0.13
I,0.405,0.12
I,0.405,0.13
I,0.425,0.13
I,0.42,0.14
I,0.39,0.125
I,0.4,0.135
I,0.455,0.14
I,0.42,0.145
I,0.41,0.13
I,0.45,0.135
I,0.42,0.14
I,0.43,0.17
I,0.425,0.14
I,0.43,0.14
I,0.42,0.14
I,0.395,0.135
I,0.415,0.135
I,0.4,0.13
I,0.43,0.14
I,0.425,0.135
I,0.425,0.15
I,0.42,0.155
I,0.465,0.15
I,0.4,0.135
I,0.435,0.125
I,0.43,0.14
I,0.425,0.145
I,0.395,0.13
I,0.45,0.175
I,0.43,0.15
I,0.425,0.135
I,0.425,0.145
I,0.455,0.145
I,0.445,0.165
I,0.435,0.13
I,0.42,0.155
I,0.435,0.145
I,0.44,0.135
I,0.43,0.125
I,0.465,0.15
I,0.435,0.17
I,0.445,0.155
I,0.42,0.13
I,0.45,0.125
I,0.445,0.17
I,0.455,0.16
I,0.445,0.16
I,0.44,0.125
I,0.45,0.145
I,0.445,0.125
I,0.42,0.14
I,0.42,0.145
I,0.45,0.135
I,0.46,0.14
I,0.445,0.135
I,0.46,0.125
I,0.45,0.125
I,0.445,0.135
I,0.47,0.145
I,0.465,0.15
I,0.465,0.125
I,0.47,0.14
I,0.485,0.15
I,0.5,0.17
I,0.485,0.175
I,0.26,0.085
I,0.27,0.1
I,0.275,0.11
I,0.29,0.1
I,0.275,0.1
I,0.295,0.1
I,0.31,0.1
I,0.305,0.105
I,0.3,0.115
I,0.325,0.1
I,0.31,0.11
I,0.38,0.105
I,0.34,0.11
I,0.36,0.115
I,0.325,0.14
I,0.37,0.14
I,0.375,0.105
I,0.375,0.105
I,0.365,0.12
I,0.365,0.115
I,0.37,0.13
I,0.365,0.125
I,0.385,0.125
I,0.385,0.15
I,0.375,0.15
I,0.35,0.105
I,0.415,0.135
I,0.42,0.15
I,0.375,0.14
I,0.425,0.17
I,0.4,0.13
I,0.385,0.115
I,0.41,0.14
I,0.405,0.125
I,0.4,0.14
I,0.42,0.155
I,0.43,0.135
I,0.45,0.155
I,0.4,0.145
I,0.42,0.14
I,0.425,0.13
I,0.415,0.11
I,0.405,0.15
I,0.415,0.155
I,0.43,0.15
I,0.425,0.14
I,0.43,0.15
I,0.435,0.14
I,0.435,0.14
I,0.43,0.145
I,0.425,0.145
I,0.425,0.135
I,0.405,0.15
I,0.425,0.155
I,0.415,0.15
I,0.445,0.11
I,0.43,0.155
I,0.425,0.14
I,0.445,0.15
I,0.44,0.14
I,0.46,0.155
I,0.45,0.145
I,0.44,0.13
I,0.43,0.145
I,0.425,0.14
I,0.435,0.13
I,0.425,0.135
I,0.45,0.135
I,0.45,0.13
I,0.45,0.135
I,0.45,0.145
I,0.45,0.15
I,0.44,0.145
I,0.46,0.14
I,0.46,0.14
I,0.475,0.16
I,0.46,0.145
I,0.47,0.17
I,0.45,0.145
I,0.475,0.145
I,0.47,0.135
I,0.475,0.155
I,0.475,0.15
I,0.49,0.165
I,0.48,0.155
I,0.475,0.15
I,0.45,0.135
I,0.475,0.145
I,0.49,0.135
I,0.52,0.15
I,0.53,0.185
I,0.55,0.22
I,0.26,0.09
I,0.28,0.1
I,0.28,0.09
I,0.31,0.1
I,0.325,0.1
I,0.31,0.115
I,0.33,0.12
I,0.345,0.13
I,0.355,0.115
I,0.35,0.12
I,0.38,0.13
I,0.34,0.11
I,0.345,0.115
I,0.35,0.13
I,0.35,0.135
I,0.38,0.12
I,0.385,0.14
I,0.39,0.125
I,0.405,0.13
I,0.405,0.12
I,0.405,0.14
I,0.38,0.14
I,0.41,0.14
I,0.395,0.115
I,0.41,0.14
I,0.43,0.15
I,0.42,0.13
I,0.395,0.125
I,0.41,0.15
I,0.45,0.17
I,0.425,0.13
I,0.4,0.145
I,0.43,0.145
I,0.42,0.115
I,0.445,0.145
I,0.445,0.125
I,0.425,0.18
I,0.46,0.145
I,0.435,0.145
I,0.435,0.135
I,0.445,0.165
I,0.44,0.155
I,0.44,0.175
I,0.43,0.15
I,0.43,0.135
I,0.45,0.135
I,0.445,0.15
I,0.47,0.15
I,0.425,0.145
I,0.46,0.145
I,0.485,0.15
I,0.435,0.13
I,0.425,0.155
I,0.49,0.16
I,0.49,0.16
I,0.475,0.16
I,0.47,0.155
I,0.485,0.16
I,0.505,0.18
I,0.465,0.15
I,0.49,0.17
I,0.525,0.215
I,0.28,0.1
I,0.325,0.115
I,0.33,0.125
I,0.335,0.11
I,0.35,0.135
I,0.36,0.125
I,0.37,0.12
I,0.355,0.13
I,0.38,0.155
I,0.39,0.14
I,0.41,0.155
I,0.42,0.135
I,0.415,0.135
I,0.44,0.165
I,0.44,0.17
I,0.445,0.145
I,0.495,0.145
I,0.485,0.18
I,0.48,0.18
I,0.47,0.155
I,0.43,0.175
I,0.245,0.08
I,0.345,0.125
I,0.325,0.11
I,0.345,0.1
I,0.34,0.125
I,0.33,0.1
I,0.355,0.14
I,0.37,0.12
I,0.39,0.15
I,0.385,0.115
I,0.38,0.145
I,0.4,0.15
I,0.4,0.12
I,0.42,0.135
I,0.4,0.145
I,0.455,0.18
I,0.45,0.17
I,0.475,0.17
I,0.47,0.14
I,0.48,0.165
I,0.49,0.155
I,0.46,0.19
I,0.485,0.18
I,0.5,0.165
I,0.305,0.095
I,0.34,0.125
I,0.345,0.12
I,0.345,0.135
I,0.4,0.16
I,0.385,0.155
I,0.405,0.15
I,0.425,0.15
I,0.435,0.155
I,0.42,0.16
I,0.45,0.16
I,0.475,0.17
I,0.46,0.16
I,0.465,0.155
I,0.35,0.145
I,0.36,0.105
I,0.39,0.145
I,0.38,0.125
I,0.415,0.16
I,0.405,0.14
I,0.455,0.17
I,0.485,0.17
I,0.515,0.145
I,0.525,0.18
I,0.355,0.165
I,0.33,0.135
I,0.35,0.14
I,0.445,0.155
I,0.445,0.175
I,0.5,0.18
I,0.48,0.2
I,0.42,0.145
I,0.435,0.145
I,0.44,0.165
I,0.465,0.195
I,0.46,0.17
I,0.505,0.19
I,0.515,0.16
I,0.38,0.14
I,0.37,0.125
I,0.41,0.175
I,0.49,0.195
I,0.525,0.18
I,0.355,0.12
I,0.39,0.14
I,0.42,0.185
I,0.445,0.17
I,0.415,0.145
M,0.11,0.04
M,0.125,0.05
M,0.15,0.05
M,0.125,0.04
M,0.125,0.04
M,0.145,0.05
M,0.16,0.06
M,0.18,0.065
M,0.23,0.09
M,0.115,0.025
M,0.135,0.04
M,0.14,0.055
M,0.18,0.065
M,0.205,0.07
M,0.2,0.08
M,0.2,0.08
M,0.205,0.1
M,0.21,0.065
M,0.215,0.075
M,0.305,0.09
M,0.2,0.065
M,0.19,0.075
M,0.2,0.08
M,0.195,0.08
M,0.24,0.09
M,0.22,0.085
M,0.24,0.08
M,0.215,0.075
M,0.235,0.085
M,0.26,0.075
M,0.265,0.09
M,0.26,0.085
M,0.27,0.1
M,0.27,0.09
M,0.265,0.075
M,0.27,0.095
M,0.3,0.115
M,0.305,0.1
M,0.335,0.125
M,0.375,0.115
M,0.385,0.145
M,0.37,0.13
M,0.4,0.155
M,0.375,0.115
M,0.39,0.135
M,0.39,0.125
M,0.41,0.14
M,0.155,0.045
M,0.17,0.055
M,0.2,0.065
M,0.195,0.07
M,0.21,0.08
M,0.21,0.075
M,0.23,0.075
M,0.215,0.075
M,0.225,0.08
M,0.245,0.095
M,0.24,0.085
M,0.24,0.085
M,0.255,0.095
M,0.25,0.09
M,0.265,0.105
M,0.265,0.09
M,0.265,0.11
M,0.265,0.09
M,0.295,0.08
M,0.28,0.095
M,0.235,0.1
M,0.295,0.095
M,0.28,0.125
M,0.32,0.095
M,0.31,0.1
M,0.305,0.12
M,0.3,0.1
M,0.345,0.105
M,0.325,0.095
M,0.33,0.08
M,0.325,0.1
M,0.335,0.12
M,0.335,0.11
M,0.325,0.115
M,0.32,0.12
M,0.345,0.105
M,0.375,0.125
M,0.345,0.11
M,0.36,0.115
M,0.36,0.11
M,0.37,0.13
M,0.36,0.105
M,0.36,0.1
M,0.365,0.12
M,0.37,0.135
M,0.385,0.105
M,0.465,0.125
M,0.4,0.135
M,0.385,0.135
M,0.4,0.125
M,0.375,0.145
M,0.385,0.13
M,0.4,0.135
M,0.4,0.15
M,0.405,0.125
M,0.39,0.155
M,0.41,0.14
M,0.39,0.12
M,0.395,0.125
M,0.38,0.125
M,0.415,0.135
M,0.405,0.125
M,0.405,0.14
M,0.405,0.14
M,0.41,0.13
M,0.39,0.135
M,0.42,0.145
M,0.42,0.12
M,0.43,0.155
M,0.405,0.15
M,0.4,0.13
M,0.45,0.14
M,0.415,0.125
M,0.46,0.17
M,0.45,0.155
M,0.465,0.16
M,0.465,0.14
M,0.45,0.15
M,0.46,0.17
M,0.51,0.17
M,0.195,0.065
M,0.23,0.085
M,0.255,0.075
M,0.275,0.11
M,0.265,0.09
M,0.265,0.085
M,0.295,0.105
M,0.28,0.1
M,0.28,0.105
M,0.3,0.1
M,0.275,0.115
M,0.255,0.1
M,0.285,0.095
M,0.305,0.085
M,0.335,0.115
M,0.31,0.09
M,0.315,0.12
M,0.335,0.115
M,0.34,0.115
M,0.335,0.115
M,0.32,0.12
